,Titulo,Tipo,Nuevo,Ubicacion,Precio,Precio en,total inmueble (m2),techado (m2),habitaciones,baños,parqueaderos
0,"Proyecto ""4991 Loft"" Apartaestudios de 21 m² en edificio con play zone, Bogotá",apartamento,True,"La Castellana, Usaquén, Bogotá, Cundinamarca",165,millones,21.0,21.0,1.0,1.0,
1,Explora el concepto Flex-Op: Hermoso apartamento de 33.66 m2,apartamento,True,"Chapinero, Bogotá, Cundinamarca",190,millones,31.0,26.0,1.0,1.0,
2,"Apartaestudios de 20 m² en proyecto con concepto microlinving en La Castellana, Bogotá",apartamento,True,"La Castellana, Usaquén, Bogotá, Cundinamarca",165,millones,20.0,20.0,1.0,1.0,
3,"Exclusivo y Moderno Apartamento de 164m² en Proyecto AMAZONIA96, Chicó Norte - Chapinero.",apartamento,True,"Chapinero, Bogotá, Cundinamarca",2106,millones,164.0,144.0,2.0,3.0,2.0
4,Disfruta de un Espectacular apartamento en Proyecto inhome!58 - Galerías,apartamento,True,"Galerías, Teusaquillo, Bogotá, Cundinamarca",170,millones,22.0,20.0,1.0,1.0,
5,"OPORTUNIDAD ÚNICA: Apartamento de 56m², 2 Habitaciones en Nuevo Proyecto AMAZONIA96, Chicó - Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",701,millones,56.0,51.0,2.0,2.0,1.0
6,"Espectacular Apartamento con 2 habitaciones en Nuevo Proyecto ""C60"", Chapinero - Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",200,millones,35.0,30.0,2.0,1.0,
7,"Cómodo y moderno apartamento de 62m² en AMAZONIA96, Chicó Norte - Chapinero.",apartamento,True,"Chapinero, Bogotá, Cundinamarca",712,millones,62.0,55.0,2.0,2.0,1.0
8,"Nuevo Proyecto ""C60"": Apartamentos Flex-Op con diseños únicos y excelentes acabados",apartamento,True,"Chapinero, Bogotá, Cundinamarca",190,millones,34.0,29.0,1.0,1.0,
9,"Impresionante Edificio Club House ""C60"", Apartamento de 25m2 en Chapinero",apartamento,True,"Chapinero, Bogotá, Cundinamarca",165,millones,25.0,20.0,1.0,1.0,
10,"Vive la experiencia Flex-Op en ""C60"", Apartamento de 30 m2, Chapinero",apartamento,True,"Chapinero, Bogotá, Cundinamarca",195,millones,30.0,26.0,1.0,1.0,
11,"Encantador apartamento de 37m²  en Nuevo Proyecto AMAZONIA96, Chicó - Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",498,millones,37.0,33.0,1.0,2.0,1.0
12,"TREND SUITES, apartamentos desde 22 m² en Chapinero alto, Bogotá",apartamento,True,"Chapinero Alto, Chapinero, Bogotá, Cundinamarca",218,millones,22.0,20.0,1.0,1.0,
13,"Nueco concepto Flex-Op, apartamento en el corazón de Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",190,millones,30.0,26.0,1.0,1.0,
14,"Exclusivo Apartamento de 73m² en Proyecto AMAZONIA96, Chicó - Chapinero.",apartamento,True,"Chapinero, Bogotá, Cundinamarca",1300,millones,73.0,63.0,2.0,2.0,1.0
15,En C60 vive tu independencia en acogedor Apartamento de 27.09 m2,apartamento,True,"Chapinero, Bogotá, Cundinamarca",180,millones,27.0,22.0,1.0,1.0,
